,VV,VH,LIA,SWC,LAI,LFMC
2018-10-12,-9.054534,-13.55932,37.764656,10.198979166666666,2.4466421850025655,147.88568
2018-10-18,-8.832576,-13.970758,37.845222,9.793249999999999,2.186644786596298,158.61627
2018-10-24,-8.126536,-14.600719,37.8501,9.764458333333334,1.9302837154404684,144.29166
2018-10-30,-7.118973,-13.417745,37.947453,10.045145833333333,1.6757408079098572,146.51619
2018-11-05,-7.728428,-13.658101,37.92819,10.604375,1.3666529916226864,143.6351
2018-11-11,-8.362803,-13.980902,37.93114,10.304583333333333,1.0999889932572842,133.33194
2018-11-17,-9.566842,-14.611053,37.666943,10.507291666666667,1.0999889932572842,150.70193
2018-11-23,-8.518724,-13.170858,37.91278,10.506666666666666,1.1099888931959867,142.88153
2018-11-29,-9.799679,-14.401005,37.734043,11.011875000000002,1.129988693073392,125.5108
2018-12-05,-8.415086,-13.683669,37.84188,11.004166666666668,1.1425811596628692,90.24672
2018-12-11,-7.079317,-13.203698,37.71287,11.337083333333332,1.153692159594761,148.9061
2019-01-10,-9.179635,-15.0281105,38.387184,5.3687708333333335,1.2092471592542198,129.81967
2019-01-22,-9.963073,-15.708247,38.25913,5.290375,1.2314691591180034,147.27002
2019-01-28,-8.112245,-13.500511,38.4216,6.4113541666666665,1.242580159049895,140.72244
2019-02-09,-8.511625,-13.403094,38.31472,7.459854166666666,1.2648021589136786,149.03331
2019-02-15,-7.5763416,-12.612256,38.309307,7.489916666666667,1.2666539922356606,152.288
2019-02-21,-7.9977803,-14.72137,38.33496,7.402791666666666,1.27082061721012,152.90141
2019-02-27,-8.378185,-13.651017,38.36521,7.4535833333333334,1.2958203670568764,143.2428
2019-03-05,-7.4174414,-12.990859,38.334503,7.892520833333333,1.3499864917248487,143.5171
2019-03-11,-8.532845,-13.534308,38.399372,8.530958333333333,1.4133191913366319,133.67548
2019-03-23,-8.344956,-12.961641,38.20905,8.140812500000001,1.5878628993576223,146.97136
2019-03-29,-8.6453285,-13.340817,38.271763,9.293645833333334,1.6969527168707415,134.90675
2019-04-04,-8.052073,-13.202674,38.357735,7.785291666666667,1.8133151888847352,140.3376
2019-04-10,-8.564509,-15.045793,38.383163,6.9975,1.933313988149166,145.0612
2019-04-16,-9.042561,-13.648466,38.440216,6.7130624999999995,2.1333119869232178,140.86972
2019-04-22,-9.293129,-13.553623,38.433323,6.009979166666667,2.3466431856155396,142.52235
2019-05-04,-7.474713,-11.854201,38.334774,5.818854166666667,2.906637582182884,133.28474
2019-05-10,-8.477432,-13.318929,38.25075,5.879625,3.266633979976177,158.86264
2019-05-16,-7.810949,-13.290744,38.307903,7.289833333333333,3.4266323789954187,138.90175
2019-05-22,-7.2307634,-12.096106,38.41078,7.954625,3.587842887098139,151.21835
2019-05-28,-7.8365164,-13.61832,38.35636,8.057875000000001,3.751477613367818,152.28117
2019-06-03,-7.1590858,-11.854009,38.36124,7.293479166666667,3.9432938758283855,144.59775
2019-06-09,-6.5159655,-13.757266,38.388577,6.867166666666667,4.163291674479842,153.39246
2019-06-15,-6.655677,-12.404258,38.353436,6.979395833333334,4.2666239738464355,150.86124
2019-06-21,-7.37532,-12.649902,38.410908,6.706666666666667,4.306623573601246,140.73856
2019-06-27,-7.136921,-12.654132,38.272324,5.881625,4.146625174582004,145.33786
2019-07-03,-8.556999,-14.035157,38.36445,5.0134791666666665,3.926627375930548,145.61334
2019-07-09,-7.464574,-13.102498,38.3302,4.620395833333333,3.6466301776468755,144.99658
2019-07-15,-7.062815,-13.57419,38.38263,4.965479166666666,3.416632479056716,133.1123
2019-07-21,-7.5296125,-12.170344,38.421,4.700333333333333,3.20905879851092,159.81454
2019-07-27,-7.5568967,-13.409443,38.413143,4.06975,3.063605708493428,148.07698
2019-08-02,-8.722183,-12.750527,38.33205,3.6840208333333333,2.899970982223749,158.6407
2019-08-08,-7.10614,-13.488376,38.367367,3.7777708333333333,2.6999729834496975,145.73698
2019-08-14,-7.057386,-13.473113,38.365032,3.8778958333333335,2.593307384103537,114.37417
2019-08-20,-9.247281,-12.926589,38.36272,3.962875,2.533307984471321,133.98035
2019-09-01,-6.957078,-12.732591,38.392788,3.8867708333333333,2.543307884410024,149.10243
2019-09-07,-9.054848,-13.358525,38.358974,3.8098958333333335,2.603307284042239,153.63528
2019-09-19,-8.443967,-14.24419,38.280235,4.049416666666667,2.5733075842261313,161.09734
2019-10-01,-7.0715895,-13.574518,38.304127,4.048791666666667,2.39997598528862,133.01846
2019-10-07,-9.071795,-13.745214,38.353832,4.2673958333333335,2.39997598528862,131.7129
2019-10-13,-7.9045424,-12.879012,38.30202,4.555041666666667,2.309976885840297,147.94283
2019-10-19,-8.286066,-14.277048,38.40396,4.526583333333334,2.1299786869436503,148.97455
2019-10-25,-7.6898894,-14.400615,38.379543,4.491291666666666,1.9181626246056773,147.16354
2019-10-31,-8.65102,-15.089414,38.38203,4.498708333333333,1.6999829895794392,147.68802
2019-11-06,-7.8042154,-14.731067,38.357853,4.522833333333334,1.3599863916635513,146.3394
2019-11-12,-9.581626,-14.796958,38.354065,4.602291666666667,1.1228645813523555,145.62819
2019-11-18,-9.123363,-13.586528,38.387814,4.613708333333333,1.0914923462505435,152.43417
2019-11-24,-8.9724,-12.6231575,38.334206,5.210395833333333,1.0601201111487313,132.03984
2019-12-06,-8.191966,-13.806728,38.383842,5.928770833333334,0.9973756409451073,138.80843
2019-12-12,-7.358261,-13.411566,38.22912,6.228916666666667,0.9660034058432954,139.8341
2019-12-18,-7.6095786,-12.593468,38.444626,6.6165416666666665,0.9346311707414833,150.04564
2019-12-24,-7.3913436,-12.571877,38.420055,7.247979166666667,0.9032589356396712,143.93604
2019-12-30,-7.5682755,-11.664474,38.403732,7.660229166666666,0.8718867005378592,133.76573
2020-01-05,-7.79958,-13.929332,39.442966,7.663875,0.8405144654360472,145.88046
2020-01-17,-8.238556,-13.405953,39.477615,7.734583333333333,0.7777699952324231,139.12614
2020-01-23,-8.740422,-14.726434,39.4232,7.466208333333333,0.7463977601306111,154.07867
2020-01-29,-7.5301604,-12.497553,39.371864,7.337812499999999,0.7150255250287991,147.43533
2020-02-04,-7.7915006,-13.658524,39.311035,10.063437500000001,0.6836532899269872,123.588
2020-02-10,-7.4264083,-12.897084,39.40318,10.246916666666666,0.6522810548251751,130.14096
2020-02-22,-7.873213,-12.936659,39.41129,10.326729166666667,0.7481406620807118,84.98911
2020-02-28,-8.11622,-13.851554,39.446514,11.910645833333334,1.1925806593563821,119.76392
2020-03-05,-8.011524,-12.967027,39.31308,10.484958333333333,1.433318991214037,130.17065
2020-03-11,-8.368074,-12.511928,39.443417,12.284812500000001,1.6033172901719808,140.32158
2020-03-23,-9.0815935,-15.417477,39.37108,9.355875,1.642407808114182,118.28997
2020-03-29,-7.944043,-12.998938,39.38796,8.6444375,1.6605894443663685,123.92859
2020-04-04,-8.046406,-13.491419,39.37408,8.316,1.6399835899472237,112.00239
2020-04-10,-7.8426466,-13.783197,39.369347,7.079895833333333,1.5999839901924133,114.3397
2020-04-16,-7.5709243,-14.066795,39.473965,6.3963125000000005,2.0599793873727323,117.750656
2020-04-22,-7.877903,-13.261283,39.37199,5.722583333333334,2.4333089850842953,135.28366
